זמן התרעה מקדימה,התרעה מקדימה - טקסט מלא,סטטוס עבור הרצליה,זמן אזעקה בפועל,זמן היערכות (דקות)
2026-02-28 12:28:59,"מבזק פיקוד העורף - התרעה מקדימה  (28/02/2026 12:28)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב הנגב, עוטף עזה, מרכז הנגב, יהודה, דרום הנגב, ערבה, ים המלח, מערב לכיש, לכיש, שפלת יהודה, דן, ירקון, השפלה, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-02-28 12:35:58,7.0
2026-02-28 13:05:36,"מבזק פיקוד העורף - התרעה מקדימה  (28/02/2026 13:05)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, דן, ירקון, השפלה, שרון, שומרון, בקעה, ירושלים, מערב הנגב, עוטף עזה, מרכז הנגב לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-02-28 13:13:14,7.6
2026-02-28 13:05:37,"מבזק פיקוד העורף - התרעה מקדימה  (28/02/2026 13:05)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, דן, ירקון, השפלה, שרון, שומרון, בקעה, ירושלים, מערב הנגב, עוטף עזה, מרכז הנגב, ערבה, ים המלח, דרום הנגב לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-02-28 13:13:14,7.6
2026-02-28 14:36:44,"מבזק פיקוד העורף - התרעה מקדימה  (28/02/2026 14:36)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, יהודה, שפלת יהודה, שרון, דן, ירקון, השפלה, שומרון, בקעה, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-02-28 14:43:13,6.5
2026-02-28 15:44:16,"מבזק פיקוד העורף - התרעה מקדימה  (28/02/2026 15:44)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, דן, ירקון, השפלה, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-02-28 15:51:57,7.7
2026-02-28 16:27:53,"מבזק פיקוד העורף - התרעה מקדימה  (28/02/2026 16:27)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, דן, ירקון, השפלה, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-02-28 16:34:35,6.7
2026-02-28 16:48:27,"מבזק פיקוד העורף - התרעה מקדימה  (28/02/2026 16:48)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, יהודה, שפלת יהודה, דן, ירקון, השפלה, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-02-28 17:14:26,26.0
2026-02-28 17:32:55,"מבזק פיקוד העורף - התרעה מקדימה  (28/02/2026 17:32)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, שרון, דן, ירקון, השפלה, שומרון, בקעה, בקעת בית שאן, העמקים, גליל עליון, מרכז הגליל, קו העימות, המפרץ, מנשה, ואדי ערה, הכרמל, צפון הגולן, דרום הגולן, גליל תחתון לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-02-28 17:37:23,4.5
2026-02-28 19:18:25,"מבזק פיקוד העורף - התרעה מקדימה  (28/02/2026 19:18)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, שרון, דן, השפלה, ירקון, בקעה, שומרון לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-02-28 19:25:35,7.2
2026-02-28 22:35:26,"מבזק פיקוד העורף - התרעה מקדימה  (28/02/2026 22:35)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שפלת יהודה, מערב לכיש, לכיש, יהודה, שרון, דן, ירקון, השפלה, שומרון, בקעה, בקעת בית שאן, המפרץ, מנשה, ואדי ערה, הכרמל, העמקים, גליל עליון, מרכז הגליל, קו העימות, דרום הגולן לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-02-28 22:44:02,8.6
2026-02-28 22:35:26,"מבזק פיקוד העורף - התרעה מקדימה  (28/02/2026 22:35)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שפלת יהודה, מערב לכיש, לכיש, יהודה, שרון, דן, ירקון, השפלה, שומרון, בקעה, בקעת בית שאן, המפרץ, מנשה, ואדי ערה, הכרמל, העמקים, גליל עליון, מרכז הגליל, קו העימות, דרום הגולן, צפון הגולן, גליל תחתון לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-02-28 22:44:02,8.6
2026-02-28 23:22:41,"מבזק פיקוד העורף - התרעה מקדימה  (28/02/2026 23:22)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, שרון, דן, ירקון, השפלה, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-02-28 23:31:14,8.6
2026-03-01 01:40:07,"מבזק פיקוד העורף - התרעה מקדימה  (01/03/2026 01:40)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים ירושלים, מערב לכיש, לכיש, שפלת יהודה, דן, ירקון, השפלה, יהודה, שרון לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-01 01:50:23,10.3
2026-03-01 01:40:11,"מבזק פיקוד העורף - התרעה מקדימה  (01/03/2026 01:40)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים ירושלים, מערב לכיש, לכיש, שפלת יהודה, דן, ירקון, השפלה, יהודה, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-01 01:50:23,10.2
2026-03-01 06:09:44,"מבזק פיקוד העורף - התרעה מקדימה  (01/03/2026 06:09)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, יהודה, שפלת יהודה, דן, ירקון, השפלה, שרון, שומרון, בקעה, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-01 06:18:05,8.3
2026-03-01 08:54:53,"מבזק פיקוד העורף - התרעה מקדימה  (01/03/2026 08:54)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים יהודה, מערב לכיש, לכיש, שפלת יהודה, שרון, בקעה, שומרון, דן, ירקון, השפלה, ירושלים, דרום הגולן, צפון הגולן, גליל תחתון, העמקים, גליל עליון, המפרץ, מנשה, ואדי ערה, הכרמל, מרכז הגליל, קו העימות, בקעת בית שאן לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-01 10:04:53,"מבזק פיקוד העורף - התרעה מקדימה  (01/03/2026 10:04)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים בקעה, שומרון, שרון, יהודה, דן, ירקון, השפלה, שפלת יהודה, מערב לכיש, לכיש, ירושלים, צפון הגולן, דרום הגולן, גליל תחתון, גליל עליון, העמקים, בקעת בית שאן, מרכז הגליל, קו העימות, המפרץ, מנשה, ואדי ערה, הכרמל לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-01 10:21:05,16.2
2026-03-01 12:38:30,"מבזק פיקוד העורף - התרעה מקדימה  (01/03/2026 12:38)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שומרון, בקעה, שרון, דן, ירקון, השפלה, יהודה, שפלת יהודה, לכיש, מערב לכיש לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-01 12:50:31,12.0
2026-03-01 13:24:54,"מבזק פיקוד העורף - התרעה מקדימה  (01/03/2026 13:24)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים בקעה, שומרון, דן, ירקון, השפלה, שרון, יהודה, שפלת יהודה, מערב לכיש, לכיש, צפון הגולן, דרום הגולן, גליל תחתון, המפרץ, מנשה, ואדי ערה, הכרמל, בקעת בית שאן, העמקים, גליל עליון, מרכז הגליל, קו העימות, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-01 13:37:23,12.5
2026-03-01 21:08:01,"מבזק פיקוד העורף - התרעה מקדימה  (01/03/2026 21:08)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב הנגב, מרכז הנגב, עוטף עזה, יהודה, דרום הנגב, ערבה, ים המלח, שפלת יהודה, לכיש, מערב לכיש, ירקון, דן, השפלה, שרון, שומרון, בקעה, בקעת בית שאן, העמקים, גליל עליון, מרכז הגליל, ואדי ערה, מנשה, הכרמל, המפרץ, דרום הגולן, גליל תחתון, צפון הגולן, קו העימות, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-01 21:08:29,0.5
2026-03-01 22:28:11,"מבזק פיקוד העורף - התרעה מקדימה  (01/03/2026 22:28)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים ירושלים, מערב לכיש, לכיש, שפלת יהודה, יהודה, ירקון, דן, שרון, השפלה, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-02 07:02:17,"מבזק פיקוד העורף - התרעה מקדימה  (02/03/2026 07:02)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב הנגב, מרכז הנגב, עוטף עזה, יהודה, דרום הנגב, ערבה, ים המלח, שפלת יהודה, מערב לכיש, לכיש, דן, ירקון, השפלה, שרון, שומרון, בקעה, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-02 07:11:11,8.9
2026-03-02 07:30:30,"מבזק פיקוד העורף - התרעה מקדימה  (02/03/2026 07:30)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים ירושלים, שפלת יהודה, מערב לכיש, לכיש, יהודה, דן, ירקון, השפלה, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-02 12:02:16,"מבזק פיקוד העורף - התרעה מקדימה  (02/03/2026 12:02)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים דן, ירקון, שומרון, בקעה, שרון, יהודה, השפלה, שפלת יהודה, מערב לכיש, לכיש לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-02 12:12:21,10.1
2026-03-02 12:34:13,"מבזק פיקוד העורף - התרעה מקדימה  (02/03/2026 12:34)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, יהודה, שפלת יהודה, שרון, דן, ירקון, השפלה, שומרון, בקעה, ירושלים, מרכז הנגב, מערב הנגב, עוטף עזה, דרום הנגב, ערבה, ים המלח לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-02 17:26:14,"מבזק פיקוד העורף - התרעה מקדימה  (02/03/2026 17:26)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שרון, שומרון, בקעה, דן, ירקון, יהודה, השפלה, מערב לכיש, לכיש, שפלת יהודה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-02 17:37:23,11.2
2026-03-03 00:38:39,"מבזק פיקוד העורף - התרעה מקדימה  (03/03/2026 00:38)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שומרון, בקעה, שרון, יהודה, דן, ירקון, השפלה, שפלת יהודה, לכיש, מערב לכיש לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-03 00:41:49,3.2
2026-03-03 11:07:35,"מבזק פיקוד העורף - התרעה מקדימה  (03/03/2026 11:07)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שומרון, בקעה, דן, ירקון, שרון, יהודה, השפלה, שפלת יהודה, מערב לכיש, לכיש לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-03 11:15:35,8.0
2026-03-03 12:22:09,"מבזק פיקוד העורף - התרעה מקדימה  (03/03/2026 12:22)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, יהודה, שפלת יהודה, שרון, דן, ירקון, השפלה, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-03 12:45:46,23.6
2026-03-03 14:45:15,"מבזק פיקוד העורף - התרעה מקדימה  (03/03/2026 14:45)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, שרון, דן, ירקון, השפלה, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-03 14:54:48,9.6
2026-03-03 22:42:17,"מבזק פיקוד העורף - התרעה מקדימה  (03/03/2026 22:42)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים לכיש, מערב לכיש, יהודה, שפלת יהודה, דן, ירקון, השפלה, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-03 23:18:03,35.8
2026-03-03 23:08:42,"מבזק פיקוד העורף - התרעה מקדימה  (03/03/2026 23:08)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, דן, ירקון, השפלה, יהודה, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-03 23:18:03,9.3
2026-03-04 05:53:13,"מבזק פיקוד העורף - התרעה מקדימה  (04/03/2026 05:53)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים ירושלים, שפלת יהודה, מערב לכיש, לכיש, דן, ירקון, יהודה, השפלה, בקעה, שומרון, שרון, בקעת בית שאן, גליל עליון, העמקים, המפרץ, מנשה, ואדי ערה, הכרמל, מרכז הגליל, קו העימות, צפון הגולן, דרום הגולן, גליל תחתון לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-04 13:47:49,"מבזק פיקוד העורף - התרעה מקדימה  (04/03/2026 13:47)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, השפלה, ירקון, דן, שרון, שומרון, בקעה, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-04 14:02:44,"מבזק פיקוד העורף - התרעה מקדימה  (04/03/2026 14:02)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים ירושלים, מערב לכיש, לכיש, שפלת יהודה, דן, ירקון, יהודה, שרון, השפלה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-04 14:38:15,35.5
2026-03-04 14:02:46,"מבזק פיקוד העורף - התרעה מקדימה  (04/03/2026 14:02)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים ירושלים, מערב לכיש, לכיש, שפלת יהודה, דן, ירקון, יהודה, שרון, השפלה, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-04 14:38:15,35.5
2026-03-04 14:30:32,"מבזק פיקוד העורף - התרעה מקדימה  (04/03/2026 14:30)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שפלת יהודה, מערב לכיש, לכיש, יהודה, שרון, דן, ירקון, השפלה, שומרון, בקעה, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-04 14:38:15,7.7
2026-03-04 16:07:35,"מבזק פיקוד העורף - התרעה מקדימה  (04/03/2026 16:07)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים בקעת בית שאן, גליל עליון, העמקים, המפרץ, מנשה, ואדי ערה, הכרמל, מרכז הגליל, קו העימות, דרום הגולן, צפון הגולן, גליל תחתון, מערב לכיש, לכיש, יהודה, שפלת יהודה, ירקון, דן, השפלה, שרון, שומרון, בקעה, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-04 16:13:09,5.6
2026-03-04 18:54:37,"מבזק פיקוד העורף - התרעה מקדימה  (04/03/2026 18:54)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, דן, ירקון, השפלה, יהודה, שרון, שומרון, בקעה, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-05 02:22:49,"מבזק פיקוד העורף - התרעה מקדימה  (05/03/2026 02:22)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, דן, ירקון, השפלה, יהודה, שרון, בקעה, שומרון לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-05 02:29:40,6.8
2026-03-05 03:04:17,"מבזק פיקוד העורף - התרעה מקדימה  (05/03/2026 03:04)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, שרון, דן, ירקון, השפלה, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-05 03:10:09,5.9
2026-03-05 03:55:24,"מבזק פיקוד העורף - התרעה מקדימה  (05/03/2026 03:55)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים ירושלים, מערב לכיש, לכיש, יהודה, שפלת יהודה, דן, ירקון, השפלה, בקעה, שומרון, שרון לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-05 10:29:06,"מבזק פיקוד העורף - התרעה מקדימה  (05/03/2026 10:29)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים בקעה, שומרון, דן, ירקון, שרון, השפלה, שפלת יהודה, יהודה, מערב לכיש, לכיש, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-05 13:42:15,"מבזק פיקוד העורף - התרעה מקדימה  (05/03/2026 13:42)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, דן, ירקון, השפלה, יהודה, שרון, בקעה, שומרון לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-05 13:49:09,6.9
2026-03-05 16:25:14,"מבזק פיקוד העורף - התרעה מקדימה  (05/03/2026 16:25)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, דן, ירקון, השפלה, יהודה, שרון, שומרון, בקעה, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-05 16:32:24,7.2
2026-03-05 22:35:19,"מבזק פיקוד העורף - התרעה מקדימה  (05/03/2026 22:35)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, דן, ירקון, השפלה, יהודה, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-05 22:59:41,24.4
2026-03-05 22:50:40,"מבזק פיקוד העורף - התרעה מקדימה  (05/03/2026 22:50)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, ירקון, דן, בקעה, שומרון, שרון, השפלה, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-05 22:59:41,9.0
2026-03-06 10:10:50,"מבזק פיקוד העורף - התרעה מקדימה  (06/03/2026 10:10)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, יהודה, שפלת יהודה, שרון, בקעה, שומרון, השפלה, ירקון, דן לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-06 10:19:02,8.2
2026-03-06 19:16:53,"מבזק פיקוד העורף - התרעה מקדימה  (06/03/2026 19:16)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שומרון, בקעה, שרון, דן, ירקון, השפלה, יהודה, שפלת יהודה, מערב לכיש, לכיש לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-06 19:23:09,6.3
2026-03-06 20:40:12,"מבזק פיקוד העורף - התרעה מקדימה  (06/03/2026 20:40)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שומרון, בקעה, שרון, דן, ירקון, השפלה, יהודה, שפלת יהודה, מערב לכיש, לכיש לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-06 21:54:10,"מבזק פיקוד העורף - התרעה מקדימה  (06/03/2026 21:54)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שומרון, בקעה, שרון, יהודה, דן, ירקון, השפלה, שפלת יהודה, לכיש, מערב לכיש לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-06 21:54:11,"מבזק פיקוד העורף - התרעה מקדימה  (06/03/2026 21:54)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שומרון, בקעה, שרון, יהודה, דן, ירקון, השפלה, שפלת יהודה, לכיש, מערב לכיש לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-07 00:32:21,"מבזק פיקוד העורף - התרעה מקדימה  (07/03/2026 00:32)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, דן, ירקון, השפלה, שרון, בקעה, שומרון לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-07 00:39:05,6.7
2026-03-07 04:56:46,"מבזק פיקוד העורף - התרעה מקדימה  (07/03/2026 04:56)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, יהודה, שפלת יהודה, שרון, דן, ירקון, השפלה, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-07 06:20:13,"מבזק פיקוד העורף - התרעה מקדימה  (07/03/2026 06:20)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, דן, ירקון, השפלה, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-07 11:23:25,"מבזק פיקוד העורף - התרעה מקדימה  (07/03/2026 11:23)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים ירושלים, מערב לכיש, לכיש, שפלת יהודה, יהודה, דן, ירקון, השפלה, שומרון, בקעה, שרון לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-07 14:49:50,"מבזק פיקוד העורף - התרעה מקדימה  (07/03/2026 14:49)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, דן, ירקון, יהודה, שרון, השפלה, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-07 14:59:39,9.8
2026-03-07 15:25:25,"מבזק פיקוד העורף - התרעה מקדימה  (07/03/2026 15:25)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, שרון, דן, ירקון, השפלה, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-07 15:33:22,8.0
2026-03-07 20:30:49,"מבזק פיקוד העורף - התרעה מקדימה  (07/03/2026 20:30)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, יהודה, שפלת יהודה, דן, ירקון, השפלה, שרון, שומרון, בקעה, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
