זמן התרעה מקדימה,התרעה מקדימה - טקסט מלא,סטטוס עבור הרצליה,זמן אזעקה בפועל,זמן היערכות (דקות)
2026-03-07 21:46:16,"מבזק פיקוד העורף - התרעה מקדימה  (07/03/2026 21:46)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שומרון, בקעה, שרון, דן, ירקון, יהודה, שפלת יהודה, השפלה, מערב לכיש, לכיש לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-08 02:19:27,"מבזק פיקוד העורף - התרעה מקדימה  (08/03/2026 02:19)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים בקעת בית שאן, העמקים, גליל עליון, מרכז הגליל, קו העימות, המפרץ, מנשה, ואדי ערה, הכרמל, צפון הגולן, דרום הגולן, גליל תחתון, שרון לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-08 07:23:40,"מבזק פיקוד העורף - התרעה מקדימה  (08/03/2026 07:23)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, יהודה, שפלת יהודה, דן, ירקון, השפלה, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-08 13:43:16,"מבזק פיקוד העורף - התרעה מקדימה  (08/03/2026 13:43)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, יהודה, שפלת יהודה, שרון, השפלה, ירקון, דן, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-08 13:51:56,8.7
2026-03-08 14:22:22,"מבזק פיקוד העורף - התרעה מקדימה  (08/03/2026 14:22)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שומרון, בקעה, דן, ירקון, השפלה, שרון, יהודה, מערב לכיש, לכיש, שפלת יהודה, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-08 16:39:23,"מבזק פיקוד העורף - התרעה מקדימה  (08/03/2026 16:39)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים בקעה, שומרון, שרון, דן, ירקון, השפלה, שפלת יהודה, יהודה, מערב לכיש, לכיש לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-08 18:43:05,"מבזק פיקוד העורף - התרעה מקדימה  (08/03/2026 18:43)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שומרון, בקעה, דן, ירקון, השפלה, שרון, יהודה, שפלת יהודה, לכיש, מערב לכיש לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-08 18:47:44,4.7
2026-03-09 01:09:28,"מבזק פיקוד העורף - התרעה מקדימה  (09/03/2026 01:09)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים בקעת בית שאן, המפרץ, מנשה, ואדי ערה, הכרמל, גליל עליון, העמקים, צפון הגולן, דרום הגולן, גליל תחתון, מרכז הגליל, קו העימות, לכיש, מערב לכיש, יהודה, שפלת יהודה, דן, ירקון, השפלה, שרון, בקעה, שומרון לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-09 01:28:50,"מבזק פיקוד העורף - התרעה מקדימה  (09/03/2026 01:28)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, דן, ירקון, השפלה, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-09 11:08:02,"מבזק פיקוד העורף - התרעה מקדימה  (09/03/2026 11:08)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, יהודה, שפלת יהודה, דן, ירקון, השפלה, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-09 11:16:19,8.3
2026-03-09 16:30:52,"מבזק פיקוד העורף - התרעה מקדימה  (09/03/2026 16:30)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שומרון, בקעה, שרון, דן, ירקון, השפלה, שפלת יהודה, יהודה, לכיש, מערב לכיש לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-09 17:03:14,32.4
2026-03-09 17:47:32,"מבזק פיקוד העורף - התרעה מקדימה  (09/03/2026 17:47)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שומרון, בקעה, בקעת בית שאן, שרון לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-09 17:56:46,"מבזק פיקוד העורף - התרעה מקדימה  (09/03/2026 17:56)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים דן, ירקון, השפלה לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-09 21:34:57,"מבזק פיקוד העורף - התרעה מקדימה  (09/03/2026 21:34)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים דן, ירקון, השפלה, שומרון, בקעה, שרון, שפלת יהודה, יהודה, לכיש, מערב לכיש לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-10 09:56:39,"מבזק פיקוד העורף - התרעה מקדימה  (10/03/2026 09:56)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, יהודה, שפלת יהודה, שרון, דן, ירקון, השפלה, שומרון, בקעה, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-10 14:24:24,"מבזק פיקוד העורף - התרעה מקדימה  (10/03/2026 14:24)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, שרון, דן, ירקון, השפלה, שומרון, בקעה, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-10 14:28:57,4.5
2026-03-10 14:42:26,"מבזק פיקוד העורף - התרעה מקדימה  (10/03/2026 14:42)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים המפרץ, מנשה, ואדי ערה, הכרמל, בקעת בית שאן, גליל עליון, העמקים, צפון הגולן, דרום הגולן, גליל תחתון, מרכז הגליל, קו העימות, מערב לכיש, לכיש, יהודה, שפלת יהודה, שרון, דן, השפלה, ירקון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-10 14:49:30,7.1
2026-03-10 17:08:09,"מבזק פיקוד העורף - התרעה מקדימה  (10/03/2026 17:08)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, שרון, דן, ירקון, השפלה, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-10 17:08:10,"מבזק פיקוד העורף - התרעה מקדימה  (10/03/2026 17:08)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, שרון, דן, ירקון, השפלה, ירושלים, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-10 19:43:34,"מבזק פיקוד העורף - התרעה מקדימה  (10/03/2026 19:43)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שפלת יהודה, לכיש, מערב לכיש, יהודה, השפלה, ירקון, דן, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-10 19:50:04,6.5
2026-03-10 23:32:11,"מבזק פיקוד העורף - התרעה מקדימה  (10/03/2026 23:32)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים לכיש, מערב לכיש, שפלת יהודה, יהודה, ירקון, דן, שרון, השפלה, שומרון לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-10 23:32:11,"מבזק פיקוד העורף - התרעה מקדימה  (10/03/2026 23:32)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים לכיש, מערב לכיש, שפלת יהודה, יהודה, ירקון, דן, שרון, השפלה, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-11 00:49:40,"מבזק פיקוד העורף - התרעה מקדימה  (11/03/2026 00:49)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים ירושלים, מערב לכיש, לכיש, שפלת יהודה, יהודה, ירקון, דן, השפלה, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-11 01:11:26,21.8
2026-03-11 01:09:02,"מבזק פיקוד העורף - התרעה מקדימה  (11/03/2026 01:09)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, דן, השפלה, ירקון, שרון, בקעה, שומרון, בקעת בית שאן, העמקים, גליל עליון, מרכז הגליל, ואדי ערה, מנשה, הכרמל, המפרץ, דרום הגולן, קו העימות, גליל תחתון, צפון הגולן לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-11 01:11:26,2.4
2026-03-11 03:41:20,"מבזק פיקוד העורף - התרעה מקדימה  (11/03/2026 03:41)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים לכיש, מערב לכיש, שפלת יהודה, יהודה, ירקון, דן, שרון, השפלה, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-11 03:50:30,9.2
2026-03-11 04:32:16,"מבזק פיקוד העורף - התרעה מקדימה  (11/03/2026 04:32)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים לכיש, מערב לכיש, שפלת יהודה, יהודה, ירקון, דן, השפלה, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-11 04:39:45,7.5
2026-03-11 13:45:51,"מבזק פיקוד העורף - התרעה מקדימה  (11/03/2026 13:45)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, דן, ירקון, השפלה, בקעה, שומרון, שרון, בקעת בית שאן, המפרץ, מנשה, ואדי ערה, הכרמל, העמקים, גליל עליון, מרכז הגליל, קו העימות, צפון הגולן, דרום הגולן, גליל תחתון לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-11 13:53:25,7.6
2026-03-11 19:38:55,"מבזק פיקוד העורף - התרעה מקדימה  (11/03/2026 19:38)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים ירושלים, מערב לכיש, לכיש, שפלת יהודה, יהודה, השפלה, ירקון, דן, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-12 00:30:57,"מבזק פיקוד העורף - התרעה מקדימה  (12/03/2026 00:30)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים לכיש, מערב לכיש, שפלת יהודה, יהודה, דן, ירקון, השפלה, בקעה, שומרון, שרון, ירושלים, מרכז הנגב, מערב הנגב, עוטף עזה, דרום הנגב, ערבה, ים המלח לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-12 04:08:38,"מבזק פיקוד העורף - התרעה מקדימה  (12/03/2026 04:08)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, שרון, דן, ירקון, השפלה, שומרון, בקעה, בקעת בית שאן, המפרץ, מנשה, ואדי ערה, הכרמל, גליל עליון, העמקים, צפון הגולן, דרום הגולן, מרכז הגליל, קו העימות, גליל תחתון לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-12 04:16:46,8.1
2026-03-12 09:22:22,"מבזק פיקוד העורף - התרעה מקדימה  (12/03/2026 09:22)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים ירושלים, מערב לכיש, לכיש, שפלת יהודה, יהודה, שרון, השפלה, ירקון, דן, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-12 14:57:14,"מבזק פיקוד העורף - התרעה מקדימה  (12/03/2026 14:57)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, דן, ירקון, השפלה, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-12 15:06:13,9.0
2026-03-12 21:38:36,"מבזק פיקוד העורף - התרעה מקדימה  (12/03/2026 21:38)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, דן, ירקון, השפלה, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-13 13:27:04,"מבזק פיקוד העורף - התרעה מקדימה  (13/03/2026 13:27)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, דן, ירקון, השפלה, יהודה, שומרון, שרון, בקעה, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-13 16:58:55,"מבזק פיקוד העורף - התרעה מקדימה  (13/03/2026 16:58)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, דן, יהודה, שרון, ירקון, השפלה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-13 17:06:46,7.8
2026-03-13 16:58:56,"מבזק פיקוד העורף - התרעה מקדימה  (13/03/2026 16:58)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, דן, יהודה, שרון, ירקון, השפלה, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-13 17:06:46,7.8
2026-03-13 19:26:11,"מבזק פיקוד העורף - התרעה מקדימה  (13/03/2026 19:26)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, יהודה, שפלת יהודה, דן, ירקון, השפלה, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-13 19:33:36,7.4
2026-03-13 23:16:26,"מבזק פיקוד העורף - התרעה מקדימה  (13/03/2026 23:16)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים ערבה, ים המלח, דרום הנגב, מערב הנגב, מרכז הנגב, יהודה, דן, ירקון, השפלה, שפלת יהודה, לכיש, שומרון לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-14 02:30:33,"מבזק פיקוד העורף - התרעה מקדימה  (14/03/2026 02:30)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-14 14:39:20,"מבזק פיקוד העורף - התרעה מקדימה  (14/03/2026 14:39)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שרון, דן, ירקון, השפלה, בקעה, שומרון לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-14 14:45:15,5.9
2026-03-14 16:29:47,"מבזק פיקוד העורף - התרעה מקדימה  (14/03/2026 16:29)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים לכיש, שפלת יהודה, שומרון, דן, ירקון, השפלה, בקעה, שרון, עוטף עזה, יהודה, ים המלח, ערבה, דרום הנגב, מערב הנגב, מרכז הנגב, מערב לכיש, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-15 02:24:27,"מבזק פיקוד העורף - התרעה מקדימה  (15/03/2026 02:24)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שרון, דן, ירקון, השפלה, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-15 02:35:10,10.7
2026-03-15 05:36:06,"מבזק פיקוד העורף - התרעה מקדימה  (15/03/2026 05:36)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שרון, מערב לכיש, בקעה, שומרון, שפלת יהודה, לכיש, דן, ירקון, השפלה, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-15 11:43:51,"מבזק פיקוד העורף - התרעה מקדימה  (15/03/2026 11:43)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שומרון, דן, ירקון, השפלה, שרון, בקעה, שפלת יהודה, לכיש לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-15 11:51:07,7.3
2026-03-15 13:15:14,"מבזק פיקוד העורף - התרעה מקדימה  (15/03/2026 13:15)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שפלת יהודה, לכיש, שומרון, שרון, בקעה, דן, ירקון, השפלה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-15 13:21:28,6.2
2026-03-16 01:26:33,"מבזק פיקוד העורף - התרעה מקדימה  (16/03/2026 01:26)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים דן, ירקון, השפלה, שומרון, שרון לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-16 01:31:13,4.7
2026-03-16 10:01:44,"מבזק פיקוד העורף - התרעה מקדימה  (16/03/2026 10:01)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים לכיש, שפלת יהודה, שומרון, דן, ירקון, השפלה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-16 10:06:47,5.0
2026-03-16 21:04:25,"מבזק פיקוד העורף - התרעה מקדימה  (16/03/2026 21:04)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים בקעה, שומרון, דן, ירקון, השפלה, שפלת יהודה, לכיש, שרון לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-16 21:09:19,4.9
2026-03-16 21:05:36,"מבזק פיקוד העורף - התרעה מקדימה  (16/03/2026 21:05)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים דן, ירקון, השפלה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-16 21:09:19,3.7
2026-03-16 22:17:14,"מבזק פיקוד העורף - התרעה מקדימה  (16/03/2026 22:17)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים דן, ירקון, השפלה, שרון, שומרון לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-16 22:21:54,4.7
2026-03-17 03:30:35,"מבזק פיקוד העורף - התרעה מקדימה  (17/03/2026 03:30)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים בקעה, שומרון, שרון, דן, ירקון, השפלה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-17 03:37:07,6.5
2026-03-17 12:32:49,"מבזק פיקוד העורף - התרעה מקדימה  (17/03/2026 12:32)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים בקעה, שומרון, דן, ירקון, השפלה, שרון, לכיש, שפלת יהודה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-17 12:37:47,5.0
2026-03-17 13:51:23,"מבזק פיקוד העורף - התרעה מקדימה  (17/03/2026 13:51)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים לכיש, שפלת יהודה, שומרון, דן, ירקון, השפלה לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-17 15:25:16,"מבזק פיקוד העורף - התרעה מקדימה  (17/03/2026 15:25)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים ירושלים, שפלת יהודה, לכיש, שומרון, דן, ירקון, השפלה, יהודה, ים המלח, מערב לכיש לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-17 17:43:44,"מבזק פיקוד העורף - התרעה מקדימה  (17/03/2026 17:43)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים דן, ירקון, השפלה, בקעה, שומרון, שרון, מנשה, ואדי ערה, דרום הגולן, גליל עליון, העמקים, המפרץ, הכרמל, מרכז הגליל, גליל תחתון לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-17 17:45:46,2.0
2026-03-18 00:12:23,"מבזק פיקוד העורף - התרעה מקדימה  (18/03/2026 00:12)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים דן, ירקון, השפלה, יהודה, ים המלח, שפלת יהודה, לכיש, שומרון, בקעה, ירושלים, שרון לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-18 00:19:36,7.2
2026-03-18 04:33:06,"מבזק פיקוד העורף - התרעה מקדימה  (18/03/2026 04:33)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שפלת יהודה, לכיש, דן, ירקון, השפלה, שומרון לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-18 07:56:14,"מבזק פיקוד העורף - התרעה מקדימה  (18/03/2026 07:56)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שומרון, דן, ירקון, השפלה, שפלת יהודה, לכיש, בקעה, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-18 11:04:47,"מבזק פיקוד העורף - התרעה מקדימה  (18/03/2026 11:04)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים המפרץ, הכרמל, דרום הגולן, גליל עליון, העמקים, מרכז הגליל, גליל תחתון, דן, ירקון, השפלה, שרון, קו העימות לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-18 15:34:03,"מבזק פיקוד העורף - התרעה מקדימה  (18/03/2026 15:34)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים דן, ירקון, השפלה, שרון, שומרון לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-18 15:39:56,5.9
2026-03-18 23:32:27,"מבזק פיקוד העורף - התרעה מקדימה  (18/03/2026 23:32)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים דן, ירקון, השפלה, שרון, שומרון לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-18 23:36:30,4.0
2026-03-19 03:11:32,"מבזק פיקוד העורף - התרעה מקדימה  (19/03/2026 03:11)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שרון, דן, ירקון, השפלה, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-19 03:16:58,5.4
2026-03-19 06:50:07,"מבזק פיקוד העורף - התרעה מקדימה  (19/03/2026 06:50)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שרון, דן, ירקון, השפלה, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-19 06:55:19,5.2
2026-03-19 10:48:49,"מבזק פיקוד העורף - התרעה מקדימה  (19/03/2026 10:48)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שרון, בקעה, שומרון, דן, ירקון, השפלה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-19 10:54:30,5.7
2026-03-19 11:39:36,"מבזק פיקוד העורף - התרעה מקדימה  (19/03/2026 11:39)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, שפלת יהודה, לכיש, שומרון, דן, ירקון, השפלה, ירושלים, יהודה, ים המלח לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
2026-03-19 16:44:21,"מבזק פיקוד העורף - התרעה מקדימה  (19/03/2026 16:44)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים יהודה, ים המלח, מערב לכיש, לכיש, שפלת יהודה, שומרון, ירושלים, דן, ירקון, השפלה, המפרץ, הכרמל, צפון הגולן, דרום הגולן, מנשה, ואדי ערה לרשימת הישובים המלאה  צופר - צבע אדום",זבל (לא הופעל צבע אדום),,
